Country,Area,Months,Year,temperature
AFG,Afghanistan,January,1961,0.777
AFG,Afghanistan,February,1961,-1.743
AFG,Afghanistan,March,1961,0.516
AFG,Afghanistan,April,1961,-1.709
AFG,Afghanistan,May,1961,1.412
AFG,Afghanistan,June,1961,-0.058
AFG,Afghanistan,July,1961,0.884
AFG,Afghanistan,August,1961,0.391
AFG,Afghanistan,September,1961,1.445
AFG,Afghanistan,October,1961,-1.102
AFG,Afghanistan,November,1961,-0.54
AFG,Afghanistan,December,1961,0.6
ALB,Albania,January,1961,0.18
ALB,Albania,February,1961,-0.625
ALB,Albania,March,1961,0.995
ALB,Albania,April,1961,2.412
ALB,Albania,May,1961,-0.515
ALB,Albania,June,1961,0.176
ALB,Albania,July,1961,-0.338
ALB,Albania,August,1961,-0.163
ALB,Albania,September,1961,0.569
ALB,Albania,October,1961,1.053
ALB,Albania,November,1961,1.467
ALB,Albania,December,1961,-0.321
ALG,Algeria,January,1961,-1.022
ALG,Algeria,February,1961,0.196
ALG,Algeria,March,1961,-1.051
ALG,Algeria,April,1961,1.72
ALG,Algeria,May,1961,1.863
ALG,Algeria,June,1961,-0.182
ALG,Algeria,July,1961,0.123
ALG,Algeria,August,1961,-0.349
ALG,Algeria,September,1961,-0.023
ALG,Algeria,October,1961,0.063
ALG,Algeria,November,1961,1.961
ALG,Algeria,December,1961,0.906
ARG,Argentina,January,1961,-0.091
ARG,Argentina,February,1961,-0.077
ARG,Argentina,March,1961,-0.519
ARG,Argentina,April,1961,-0.457
ARG,Argentina,May,1961,1.045
ARG,Argentina,June,1961,-0.775
ARG,Argentina,July,1961,-0.348
ARG,Argentina,August,1961,1.814
ARG,Argentina,September,1961,-0.536
ARG,Argentina,October,1961,0.881
ARG,Argentina,November,1961,0.432
ARG,Argentina,December,1961,0.172
ARM,Armenia,January,1961,NA
ARM,Armenia,February,1961,NA
ARM,Armenia,March,1961,NA
ARM,Armenia,April,1961,NA
ARM,Armenia,May,1961,NA
ARM,Armenia,June,1961,NA
ARM,Armenia,July,1961,NA
ARM,Armenia,August,1961,NA
ARM,Armenia,September,1961,NA
ARM,Armenia,October,1961,NA
ARM,Armenia,November,1961,NA
ARM,Armenia,December,1961,NA
AUS,Australia,January,1961,0.287
AUS,Australia,February,1961,-0.002
AUS,Australia,March,1961,0.238
AUS,Australia,April,1961,0.649
AUS,Australia,May,1961,-0.156
AUS,Australia,June,1961,-0.156
AUS,Australia,July,1961,-0.637
AUS,Australia,August,1961,-0.658
AUS,Australia,September,1961,0.938
AUS,Australia,October,1961,1.22
AUS,Australia,November,1961,0.238
AUS,Australia,December,1961,0.468
AUT,Austria,January,1961,-0.801
AUT,Austria,February,1961,2.903
AUT,Austria,March,1961,2.721
AUT,Austria,April,1961,3.571
AUT,Austria,May,1961,-1.18
AUT,Austria,June,1961,0.864
AUT,Austria,July,1961,-1.238
AUT,Austria,August,1961,0.107
AUT,Austria,September,1961,2.782
AUT,Austria,October,1961,1.567
AUT,Austria,November,1961,-0.009
AUT,Austria,December,1961,-1.162
AZE,Azerbaijan,January,1961,NA
