Country,Area,Year,mean_temp
AFG,Afghanistan,1961,0.07275
AFG,Afghanistan,1962,-0.229833333
AFG,Afghanistan,1963,0.891583333
AFG,Afghanistan,1964,-0.98
AFG,Afghanistan,1965,0.01
AFG,Afghanistan,1966,0.241416667
AFG,Afghanistan,1967,-0.362666667
AFG,Afghanistan,1968,-0.339416667
AFG,Afghanistan,1969,-0.330666667
AFG,Afghanistan,1970,0.676666667
AFG,Afghanistan,1971,0.837416667
AFG,Afghanistan,1972,-1.505416667
AFG,Afghanistan,1973,0.329416667
AFG,Afghanistan,1974,-0.554916667
AFG,Afghanistan,1975,-0.398916667
AFG,Afghanistan,1976,-0.31875
AFG,Afghanistan,1977,0.708916667
AFG,Afghanistan,1978,0.237416667
AFG,Afghanistan,1979,0.226833333
AFG,Afghanistan,1980,0.595166667
AFG,Afghanistan,1981,0.50375
AFG,Afghanistan,1982,-0.638916667
AFG,Afghanistan,1983,0.239083333
AFG,Afghanistan,1984,-0.092333333
AFG,Afghanistan,1985,0.47875
AFG,Afghanistan,1986,-0.174
AFG,Afghanistan,1987,0.5655
AFG,Afghanistan,1988,0.9515
AFG,Afghanistan,1989,-0.2115
AFG,Afghanistan,1990,0.55825
AFG,Afghanistan,1991,0.011666667
AFG,Afghanistan,1992,-0.29475
AFG,Afghanistan,1993,0.05975
AFG,Afghanistan,1994,0.368666667
AFG,Afghanistan,1995,0.28875
AFG,Afghanistan,1996,0.045333333
AFG,Afghanistan,1997,0.425416667
AFG,Afghanistan,1998,0.88
AFG,Afghanistan,1999,1.043
AFG,Afghanistan,2000,0.97725
AFG,Afghanistan,2001,1.41225
AFG,Afghanistan,2002,1.034416667
AFG,Afghanistan,2003,0.696333333
AFG,Afghanistan,2004,1.339083333
AFG,Afghanistan,2005,0.44325
AFG,Afghanistan,2006,1.40975
AFG,Afghanistan,2007,0.720083333
AFG,Afghanistan,2008,0.802833333
AFG,Afghanistan,2009,0.849416667
AFG,Afghanistan,2010,1.472166667
AFG,Afghanistan,2011,1.206083333
AFG,Afghanistan,2012,0.212166667
AFG,Afghanistan,2013,1.257833333
AFG,Afghanistan,2014,0.492416667
AFG,Afghanistan,2015,1.099333333
AFG,Afghanistan,2016,1.75475
AFG,Afghanistan,2017,1.233416667
AFG,Afghanistan,2018,1.596
AFG,Afghanistan,2019,0.902416667
ALB,Albania,1961,0.4075
ALB,Albania,1962,0.197333333
ALB,Albania,1963,0.32575
ALB,Albania,1964,-0.207833333
ALB,Albania,1965,-0.348833333
ALB,Albania,1966,0.422583333
ALB,Albania,1967,-0.076083333
ALB,Albania,1968,0.056416667
ALB,Albania,1969,-0.043416667
ALB,Albania,1970,-0.05425
ALB,Albania,1971,-0.264583333
ALB,Albania,1972,-0.139166667
ALB,Albania,1973,-0.24325
ALB,Albania,1974,-0.187583333
ALB,Albania,1975,-0.145416667
ALB,Albania,1976,-0.677166667
ALB,Albania,1977,0.438083333
ALB,Albania,1978,-0.53775
ALB,Albania,1979,0.235166667
ALB,Albania,1980,-0.6005
ALB,Albania,1981,-0.14775
ALB,Albania,1982,0.309916667
ALB,Albania,1983,-0.202833333
ALB,Albania,1984,-0.198166667
ALB,Albania,1985,0.14125
ALB,Albania,1986,0.324916667
ALB,Albania,1987,0.195666667
ALB,Albania,1988,0.268666667
ALB,Albania,1989,0.1055
ALB,Albania,1990,0.791166667
ALB,Albania,1991,-0.43925
ALB,Albania,1992,0.338166667
ALB,Albania,1993,0.331416667
ALB,Albania,1994,1.272416667
ALB,Albania,1995,0.034083333
ALB,Albania,1996,-0.061833333
ALB,Albania,1997,0.156916667
ALB,Albania,1998,0.652916667
ALB,Albania,1999,1.014583333
ALB,Albania,2000,1.19725
ALB,Albania,2001,1.108416667
ALB,Albania,2002,0.948416667
ALB,Albania,2003,1.037333333
ALB,Albania,2004,0.635416667
ALB,Albania,2005,0.16625
ALB,Albania,2006,0.514166667
ALB,Albania,2007,1.332083333
ALB,Albania,2008,1.322833333
ALB,Albania,2009,1.081166667
ALB,Albania,2010,1.173166667
ALB,Albania,2011,1.143916667
ALB,Albania,2012,1.475666667
ALB,Albania,2013,1.56125
ALB,Albania,2014,1.4945
ALB,Albania,2015,1.67475
ALB,Albania,2016,1.582166667
ALB,Albania,2017,1.449583333
ALB,Albania,2018,2.195666667
ALB,Albania,2019,2.078333333
ALG,Algeria,1961,0.350416667
ALG,Algeria,1962,-1.16E-17
ALG,Algeria,1963,0.23175
ALG,Algeria,1964,-0.00825
ALG,Algeria,1965,-0.031916667
ALG,Algeria,1966,0.28575
ALG,Algeria,1967,-0.093
ALG,Algeria,1968,0.08675
ALG,Algeria,1969,0.150083333
ALG,Algeria,1970,0.167
ALG,Algeria,1971,-0.4085
ALG,Algeria,1972,-0.453166667
ALG,Algeria,1973,-0.007166667
ALG,Algeria,1974,-0.48175
ALG,Algeria,1975,-0.42275
ALG,Algeria,1976,-0.785
ALG,Algeria,1977,0.52975
ALG,Algeria,1978,0.14775
ALG,Algeria,1979,0.48975
ALG,Algeria,1980,0.143666667
ALG,Algeria,1981,0.536666667
ALG,Algeria,1982,0.162
ALG,Algeria,1983,0.74625
ALG,Algeria,1984,0.0375
ALG,Algeria,1985,0.618916667
ALG,Algeria,1986,0.342416667
ALG,Algeria,1987,1.338583333
ALG,Algeria,1988,1.013583333
ALG,Algeria,1989,0.82075
ALG,Algeria,1990,1.053833333
ALG,Algeria,1991,0.056833333
ALG,Algeria,1992,-0.148416667
ALG,Algeria,1993,0.56625
ALG,Algeria,1994,0.781083333
ALG,Algeria,1995,0.848416667
ALG,Algeria,1996,0.85325
ALG,Algeria,1997,1.072166667
ALG,Algeria,1998,1.065416667
ALG,Algeria,1999,1.5845
ALG,Algeria,2000,1.084166667
ALG,Algeria,2001,1.877916667
ALG,Algeria,2002,1.441416667
ALG,Algeria,2003,1.517
ALG,Algeria,2004,1.099916667
ALG,Algeria,2005,1.30125
ALG,Algeria,2006,1.489833333
ALG,Algeria,2007,1.287083333
ALG,Algeria,2008,1.23675
ALG,Algeria,2009,1.338583333
ALG,Algeria,2010,2.323666667
ALG,Algeria,2011,1.296833333
ALG,Algeria,2012,1.267416667
ALG,Algeria,2013,1.206583333
ALG,Algeria,2014,1.772
ALG,Algeria,2015,1.31075
ALG,Algeria,2016,1.929333333
ALG,Algeria,2017,1.472166667
ALG,Algeria,2018,1.437083333
ALG,Algeria,2019,1.31675
ARG,Argentina,1961,0.128416667
ARG,Argentina,1962,0.0045
ARG,Argentina,1963,0.05625
ARG,Argentina,1964,-0.425833333
ARG,Argentina,1965,0.01925
ARG,Argentina,1966,-0.165333333
ARG,Argentina,1967,0.172916667
ARG,Argentina,1968,0.335833333
ARG,Argentina,1969,0.381166667
ARG,Argentina,1970,0.351416667
ARG,Argentina,1971,-0.221333333
ARG,Argentina,1972,-0.020583333
ARG,Argentina,1973,-0.215416667
ARG,Argentina,1974,-0.172166667
ARG,Argentina,1975,0.073416667
ARG,Argentina,1976,-0.45325
ARG,Argentina,1977,0.473416667
ARG,Argentina,1978,0.35425
ARG,Argentina,1979,0.160833333
ARG,Argentina,1980,0.3895
ARG,Argentina,1981,0.336
ARG,Argentina,1982,0.396333333
ARG,Argentina,1983,0.094916667
ARG,Argentina,1984,-0.413083333
ARG,Argentina,1985,0.463416667
ARG,Argentina,1986,0.430666667
ARG,Argentina,1987,0.299083333
ARG,Argentina,1988,-0.073
ARG,Argentina,1989,0.595833333
ARG,Argentina,1990,0.315083333
ARG,Argentina,1991,0.1635
ARG,Argentina,1992,-0.256416667
ARG,Argentina,1993,0.089666667
ARG,Argentina,1994,0.593
ARG,Argentina,1995,0.229833333
ARG,Argentina,1996,0.304916667
ARG,Argentina,1997,0.683666667
ARG,Argentina,1998,0.330416667
ARG,Argentina,1999,0.101
ARG,Argentina,2000,-0.23975
ARG,Argentina,2001,0.451583333
ARG,Argentina,2002,0.223833333
