"","Area"
"1","American Samoa"
"2","Andorra"
"3","Angola"
"4","Anguilla"
"5","Antarctica"
"6","Antigua and Barbuda"
"7","Aruba"
"8","Bangladesh"
"9","Belgium-Luxembourg"
"10","Belize"
"11","Benin"
"12","Bhutan"
"13","Bolivia (Plurinational State of)"
"14","British Virgin Islands"
"15","Brunei Darussalam"
"16","Burkina Faso"
"17","Cabo Verde"
"18","Cayman Islands"
"19","Central African Republic"
"20","Chad"
"21","Channel Islands"
"22","China, Hong Kong SAR"
"23","China, Macao SAR"
"24","China, mainland"
"25","China, Taiwan Province of"
"26","Christmas Island"
"27","Cocos (Keeling) Islands"
"28","Comoros"
"29","Congo"
"30","C�te d'Ivoire"
"31","Czechia"
"32","Democratic Republic of the Congo"
"33","Dominica"
"34","El Salvador"
"35","Equatorial Guinea"
"36","Eswatini"
"37","Ethiopia PDR"
"38","Falkland Islands (Malvinas)"
"39","Faroe Islands"
"40","Fiji"
"41","French Guiana"
"42","French Polynesia"
"43","French Southern and Antarctic Territories"
"44","Gambia"
"45","Gibraltar"
"46","Greenland"
"47","Guadeloupe"
"48","Guinea"
"49","Guinea-Bissau"
"50","Holy See"
"51","Honduras"
"52","Isle of Man"
"53","Jordan"
"54","Kiribati"
"55","Lao People's Democratic Republic"
"56","Lesotho"
"57","Liberia"
"58","Libya"
"59","Liechtenstein"
"60","Madagascar"
"61","Malawi"
"62","Maldives"
"63","Mali"
"64","Malta"
"65","Marshall Islands"
"66","Martinique"
"67","Mauritania"
"68","Mayotte"
"69","Micronesia (Federated States of)"
"70","Midway Island"
"71","Monaco"
"72","Montserrat"
"73","Myanmar"
"74","Nauru"
"75","Nepal"
"76","Netherlands Antilles (former)"
"77","New Caledonia"
"78","Nicaragua"
"79","Niue"
"80","Norfolk Island"
"81","North Macedonia"
"82","Oman"
"83","Pacific Islands Trust Territory"
"84","Palau"
"85","Palestine"
"86","Papua New Guinea"
"87","Pitcairn Islands"
"88","R�union"
"89","Rwanda"
"90","Saint Helena, Ascension and Tristan da Cunha"
"91","Saint Kitts and Nevis"
"92","Saint Lucia"
"93","Saint Pierre and Miquelon"
"94","Saint Vincent and the Grenadines"
"95","Samoa"
"96","San Marino"
"97","Sao Tome and Principe"
"98","Seychelles"
"99","Sierra Leone"
"100","Solomon Islands"
"101","Somalia"
"102","South Georgia and the South Sandwich Islands"
"103","South Sudan"
"104","Sudan (former)"
"105","Svalbard and Jan Mayen Islands"
"106","Timor-Leste"
"107","Tokelau"
"108","Turkmenistan"
"109","Turks and Caicos Islands"
"110","Tuvalu"
"111","United States Virgin Islands"
"112","USSR"
"113","Vanuatu"
"114","Wake Island"
"115","Wallis and Futuna Islands"
"116","Western Sahara"
"117","Yemen"
"118","Yugoslav SFR"
"119","World"
"120","Africa"
"121","Eastern Africa"
"122","Middle Africa"
"123","Northern Africa"
"124","Southern Africa"
"125","Western Africa"
"126","Americas"
"127","Northern America"
"128","Central America"
"129","Caribbean"
"130","South America"
"131","Asia"
"132","Central Asia"
"133","Eastern Asia"
"134","Southern Asia"
"135","South-Eastern Asia"
"136","Western Asia"
"137","Europe"
"138","Eastern Europe"
"139","Northern Europe"
"140","Southern Europe"
"141","Western Europe"
"142","Oceania"
"143","Australia and New Zealand"
"144","Melanesia"
"145","Polynesia"
"146","European Union"
"147","Least Developed Countries"
"148","Land Locked Developing Countries"
"149","Small Island Developing States"
"150","Low Income Food Deficit Countries"
"151","Net Food Importing Developing Countries"
"152","Annex I countries"
"153","Non-Annex I countries"
"154","OECD"
