,Area,Months,years,temperature
2964,World,January,1961,0.399
2965,World,February,1961,0.263
2966,World,March,1961,0.254
2967,World,April,1961,0.278
2968,World,May,1961,0.367
2969,World,June,1961,0.313
2970,World,July,1961,0.007
2971,World,August,1961,-0.001
2972,World,September,1961,-0.063
2973,World,October,1961,-0.123
2974,World,November,1961,0.138
2975,World,December,1961,-0.217
6372,World,January,1962,0.104
6373,World,February,1962,0.218
6374,World,March,1962,0.279
6375,World,April,1962,0.027
6376,World,May,1962,-0.183
6377,World,June,1962,-0.208
6378,World,July,1962,-0.035
6379,World,August,1962,-0.007
6380,World,September,1962,-0.023
6381,World,October,1962,0.25
6382,World,November,1962,0.201
6383,World,December,1962,0.113
9780,World,January,1963,-0.171
9781,World,February,1963,0.563
9782,World,March,1963,-0.237
9783,World,April,1963,0.002
9784,World,May,1963,-0.029
9785,World,June,1963,-0.12
9786,World,July,1963,0.208
9787,World,August,1963,0.159
9788,World,September,1963,0.374
9789,World,October,1963,0.653
9790,World,November,1963,0.392
9791,World,December,1963,-0.225
13188,World,January,1964,-0.311
13189,World,February,1964,-0.409
13190,World,March,1964,-0.287
13191,World,April,1964,-0.167
13192,World,May,1964,-0.097
13193,World,June,1964,-0.089
13194,World,July,1964,-0.235
13195,World,August,1964,-0.362
13196,World,September,1964,-0.256
13197,World,October,1964,-0.46
13198,World,November,1964,-0.135
13199,World,December,1964,-0.643
16596,World,January,1965,0.206
16597,World,February,1965,-0.45
16598,World,March,1965,-0.272
16599,World,April,1965,-0.574
16600,World,May,1965,-0.141
16601,World,June,1965,-0.036
16602,World,July,1965,-0.29
16603,World,August,1965,-0.247
16604,World,September,1965,-0.146
16605,World,October,1965,-0.056
16606,World,November,1965,-0.057
16607,World,December,1965,0.285
20004,World,January,1966,0.458
20005,World,February,1966,0.756
20006,World,March,1966,0.391
20007,World,April,1966,-0.018
20008,World,May,1966,-0.069
20009,World,June,1966,0.279
20010,World,July,1966,0.27
20011,World,August,1966,0.159
20012,World,September,1966,-0.076
20013,World,October,1966,0.039
20014,World,November,1966,-0.063
20015,World,December,1966,-0.218
23412,World,January,1967,-0.289
23413,World,February,1967,-0.557
23414,World,March,1967,-0.117
23415,World,April,1967,-0.174
23416,World,May,1967,0.238
23417,World,June,1967,-0.354
23418,World,July,1967,-0.214
23419,World,August,1967,-0.028
23420,World,September,1967,-0.016
23421,World,October,1967,0.332
23422,World,November,1967,0.025
23423,World,December,1967,-0.208
26820,World,January,1968,-0.393
26821,World,February,1968,-0.412
26822,World,March,1968,0.423
26823,World,April,1968,-0.137
26824,World,May,1968,-0.333
26825,World,June,1968,-0.217
26826,World,July,1968,-0.195
26827,World,August,1968,-0.215
26828,World,September,1968,0.019
26829,World,October,1968,-0.007
26830,World,November,1968,0.237
26831,World,December,1968,-0.075
30228,World,January,1969,-0.859
30229,World,February,1969,-0.658
30230,World,March,1969,-0.018
30231,World,April,1969,0.047
30232,World,May,1969,0.228
30233,World,June,1969,0.023
30234,World,July,1969,-0.065
30235,World,August,1969,0.042
30236,World,September,1969,-0.076
30237,World,October,1969,0.047
30238,World,November,1969,0.286
30239,World,December,1969,0.469
33636,World,January,1970,0.078
33637,World,February,1970,0.612
33638,World,March,1970,-0.043
33639,World,April,1970,0.357
33640,World,May,1970,0.16
33641,World,June,1970,0.18
33642,World,July,1970,0.055
33643,World,August,1970,0.11
33644,World,September,1970,-0.126
33645,World,October,1970,-0.144
33646,World,November,1970,0.132
33647,World,December,1970,-0.389
37044,World,January,1971,-0.05
37045,World,February,1971,-0.039
37046,World,March,1971,-0.006
37047,World,April,1971,-0.187
37048,World,May,1971,-0.015
37049,World,June,1971,-0.206
37050,World,July,1971,0.003
37051,World,August,1971,-0.067
37052,World,September,1971,0.008
37053,World,October,1971,-0.115
37054,World,November,1971,-0.04
37055,World,December,1971,0.128
40452,World,January,1972,-0.994
40453,World,February,1972,-1.306
40454,World,March,1972,-0.172
40455,World,April,1972,-0.125
40456,World,May,1972,-0.048
40457,World,June,1972,0.169
40458,World,July,1972,0.101
40459,World,August,1972,-0.001
40460,World,September,1972,-0.149
40461,World,October,1972,-0.04
40462,World,November,1972,0.098
40463,World,December,1972,-0.124
43860,World,January,1973,0.23
43861,World,February,1973,0.965
43862,World,March,1973,0.712
43863,World,April,1973,0.447
43864,World,May,1973,0.299
43865,World,June,1973,0.403
43866,World,July,1973,0.34
43867,World,August,1973,0.179
43868,World,September,1973,-0.051
43869,World,October,1973,0.159
43870,World,November,1973,-0.265
43871,World,December,1973,-0.093
47268,World,January,1974,-0.495
47269,World,February,1974,-0.427
47270,World,March,1974,0.018
47271,World,April,1974,-0.167
47272,World,May,1974,-0.107
47273,World,June,1974,-0.105
47274,World,July,1974,-0.166
47275,World,August,1974,-0.239
47276,World,September,1974,-0.326
47277,World,October,1974,-0.174
47278,World,November,1974,0.106
47279,World,December,1974,-0.245
50676,World,January,1975,0.368
50677,World,February,1975,0.101
50678,World,March,1975,0.21
50679,World,April,1975,0.247
50680,World,May,1975,0.266
50681,World,June,1975,0.24
50682,World,July,1975,0.237
50683,World,August,1975,0.062
50684,World,September,1975,0.3
50685,World,October,1975,-0.193
50686,World,November,1975,-0.514
50687,World,December,1975,-0.329
54084,World,January,1976,0.129
54085,World,February,1976,-0.447
54086,World,March,1976,-0.865
54087,World,April,1976,-0.032
54088,World,May,1976,-0.196
54089,World,June,1976,-0.354
54090,World,July,1976,-0.191
54091,World,August,1976,-0.193
54092,World,September,1976,-0.146
54093,World,October,1976,-0.687
54094,World,November,1976,-0.421
54095,World,December,1976,-0.098
57492,World,January,1977,-0.545
57493,World,February,1977,0.782
57494,World,March,1977,0.965
57495,World,April,1977,0.442
57496,World,May,1977,0.239
