Country,Area,Months,Year,temperature,MonthCode
AFG,Afghanistan,January,1961,0.777,1
AFG,Afghanistan,February,1961,-1.743,2
AFG,Afghanistan,March,1961,0.516,3
AFG,Afghanistan,April,1961,-1.709,4
AFG,Afghanistan,May,1961,1.412,5
AFG,Afghanistan,June,1961,-0.058,6
AFG,Afghanistan,July,1961,0.884,7
AFG,Afghanistan,August,1961,0.391,8
AFG,Afghanistan,September,1961,1.445,9
AFG,Afghanistan,October,1961,-1.102,10
AFG,Afghanistan,November,1961,-0.54,11
AFG,Afghanistan,December,1961,0.6,12
ALB,Albania,January,1961,0.18,1
ALB,Albania,February,1961,-0.625,2
ALB,Albania,March,1961,0.995,3
ALB,Albania,April,1961,2.412,4
ALB,Albania,May,1961,-0.515,5
ALB,Albania,June,1961,0.176,6
ALB,Albania,July,1961,-0.338,7
ALB,Albania,August,1961,-0.163,8
ALB,Albania,September,1961,0.569,9
ALB,Albania,October,1961,1.053,10
ALB,Albania,November,1961,1.467,11
ALB,Albania,December,1961,-0.321,12
ALG,Algeria,January,1961,-1.022,1
ALG,Algeria,February,1961,0.196,2
ALG,Algeria,March,1961,-1.051,3
ALG,Algeria,April,1961,1.72,4
ALG,Algeria,May,1961,1.863,5
ALG,Algeria,June,1961,-0.182,6
ALG,Algeria,July,1961,0.123,7
ALG,Algeria,August,1961,-0.349,8
ALG,Algeria,September,1961,-0.023,9
ALG,Algeria,October,1961,0.063,10
ALG,Algeria,November,1961,1.961,11
ALG,Algeria,December,1961,0.906,12
ARG,Argentina,January,1961,-0.091,1
ARG,Argentina,February,1961,-0.077,2
ARG,Argentina,March,1961,-0.519,3
ARG,Argentina,April,1961,-0.457,4
ARG,Argentina,May,1961,1.045,5
ARG,Argentina,June,1961,-0.775,6
ARG,Argentina,July,1961,-0.348,7
ARG,Argentina,August,1961,1.814,8
ARG,Argentina,September,1961,-0.536,9
ARG,Argentina,October,1961,0.881,10
ARG,Argentina,November,1961,0.432,11
ARG,Argentina,December,1961,0.172,12
ARM,Armenia,January,1961,0,1
ARM,Armenia,February,1961,0,2
ARM,Armenia,March,1961,0,3
ARM,Armenia,April,1961,0,4
ARM,Armenia,May,1961,0,5
ARM,Armenia,June,1961,0,6
ARM,Armenia,July,1961,0,7
ARM,Armenia,August,1961,0,8
ARM,Armenia,September,1961,0,9
ARM,Armenia,October,1961,0,10
ARM,Armenia,November,1961,0,11
ARM,Armenia,December,1961,0,12
AUS,Australia,January,1961,0.287,1
AUS,Australia,February,1961,-0.002,2
AUS,Australia,March,1961,0.238,3
AUS,Australia,April,1961,0.649,4
AUS,Australia,May,1961,-0.156,5
AUS,Australia,June,1961,-0.156,6
AUS,Australia,July,1961,-0.637,7
AUS,Australia,August,1961,-0.658,8
AUS,Australia,September,1961,0.938,9
AUS,Australia,October,1961,1.22,10
AUS,Australia,November,1961,0.238,11
AUS,Australia,December,1961,0.468,12
AUT,Austria,January,1961,-0.801,1
AUT,Austria,February,1961,2.903,2
AUT,Austria,March,1961,2.721,3
AUT,Austria,April,1961,3.571,4
AUT,Austria,May,1961,-1.18,5
AUT,Austria,June,1961,0.864,6
AUT,Austria,July,1961,-1.238,7
AUT,Austria,August,1961,0.107,8
AUT,Austria,September,1961,2.782,9
AUT,Austria,October,1961,1.567,10
AUT,Austria,November,1961,-0.009,11
AUT,Austria,December,1961,-1.162,12
AZE,Azerbaijan,January,1961,0,1
AZE,Azerbaijan,February,1961,0,2
AZE,Azerbaijan,March,1961,0,3
AZE,Azerbaijan,April,1961,0,4
AZE,Azerbaijan,May,1961,0,5
AZE,Azerbaijan,June,1961,0,6
AZE,Azerbaijan,July,1961,0,7
AZE,Azerbaijan,August,1961,0,8
AZE,Azerbaijan,September,1961,0,9
AZE,Azerbaijan,October,1961,0,10
AZE,Azerbaijan,November,1961,0,11
AZE,Azerbaijan,December,1961,0,12
BAH,Bahamas,January,1961,-0.322,1
BAH,Bahamas,February,1961,1.086,2
BAH,Bahamas,March,1961,0.913,3
BAH,Bahamas,April,1961,0.392,4
BAH,Bahamas,May,1961,-0.212,5
BAH,Bahamas,June,1961,0.088,6
BAH,Bahamas,July,1961,0.526,7
BAH,Bahamas,August,1961,0.199,8
BAH,Bahamas,September,1961,-0.115,9
BAH,Bahamas,October,1961,-0.584,10
BAH,Bahamas,November,1961,-0.715,11
BAH,Bahamas,December,1961,0.172,12
BRN,Bahrain,January,1961,0.646,1
BRN,Bahrain,February,1961,-0.303,2
BRN,Bahrain,March,1961,-0.885,3
BRN,Bahrain,April,1961,-0.469,4
BRN,Bahrain,May,1961,-0.591,5
BRN,Bahrain,June,1961,-1.2,6
BRN,Bahrain,July,1961,0.094,7
BRN,Bahrain,August,1961,0.219,8
BRN,Bahrain,September,1961,-1.327,9
BRN,Bahrain,October,1961,-0.993,10
BRN,Bahrain,November,1961,-0.724,11
BRN,Bahrain,December,1961,0.294,12
BAR,Barbados,January,1961,0.56,1
BAR,Barbados,February,1961,0.293,2
