"Year","Quote","Author"
1961,"human beings are now carrying out a large-scale geophysical experiment of a kind that could not have happened in the past nor be reproduced in the future",Hans Suess
1962,"But man is a part of nature, and his war against nature is inevitably a war against himself.",Rachel Carson
1963,"Global warming isn't real because I was cold today! Also great news: World hunger is over because I just ate.",Stephen Colbert
1964,"When the well is dry we will know the worth of water",Banjamin Franklin
1965,"We should be focused on magnificently clean and healthy air and not distracted by the expensive hoax that is global warming!",Donald Trump
1966,"Climate change is no longer some far-off problem it is happening here, it is happening now",Barack Obama
1967,"It really boils down to this: that all life is interrelated. We are all caught in an inescapable network of mutuality, tied into a single garment of destiny. Whatever affects one destiny, affects all indirectly.","Dr. Martin Luther King, Jr."
1968,"The Truly Healthy environment is not merely safe but stimulating.",William H. Stewart
1969,"Before the breathin' air is gone,Before the sun is just a bright spot in the nighttime.",Paul Williams and Roger Nichols
1970,"The Congress, the Administration and the public all share a profound commitment to the rescue of our natural environment, and the preservation of the Earth as a place both habitable by and hospitable to man", Richard Nixon
1971,"High quality water is more than the dream of the conservationists, more than a political slogan; high quality water, in the right quantity at the right place at the right time, is essential to health, recreation, and economic growth",Edmund S. Muskie
1972,"We have forgotten how to be good guests, how to walk lightly on the earth as its other creatures do",Barbara Ward
1973,"We will look upon the earth and her sister planets as being with us, not for us.",Mary Daly
1974,"nuclear weapons were effectively banned and the weapons of mass destruction were those of environmental catastrophe","Lyndon Johnson, MacDonald"
1975,"City farming is not only possible, it is the very definition of the kind of meaningful, sustainable innovation we will need to meet the grand challenges of the 21st century: climate change; population growth; ageing population; urbanization; rising demand for energy, food and water; poverty; and access to healthcare.",Frans van Houten
1976,"Our economic system, run for profit and waste and based primarily on the extractive industries, is the cause of climate change. We have wasted the earth's treasure and we can no longer exploit it cheaply.",Vivienne Westwood
1977,"Anyone who denies reality of climate change is ‘not being reasonable’ ",Jeff Bezos
1978,"We're not at the point of trying to stop global warming; it's too late for that. We're trying to keep it from becoming a complete and utter calamity",Bill McKibben
1979,"Ice storm rolls from Texas to Tennessee – I’m in Los Angeles and it’s freezing. Global warming is a total, and very expensive, hoax!",Donald Trump
1980,"The belief that we can manage the Earth and improve Nature is probably the biggest expression of human pride, but it has deep roots in the past and is almost univers",René Dubos
1981,"You cannot affirm the power plant and condemn the smokestack, or affirm the smoke and condemn the cough",Wendell Berry
1982,"There can be no more important or conservative concern than the protection of the globe itself",Malcolm Forbes Baldwin
1983,"This is an immense reserve of natural gas, but it is 70% CO2",Exxon
1984,"Preservation of our environment is not a liberal or conservative challenge; it's common sense",Ronald Reagan
1985,"Could reporters stop asking if political leaders believe in climate change and start asking if they understand it instead",Megan Collins
1986,"I care about climate change because of our children. I want to safeguard their future.",Cate Blanchett
1987,"Change or be changed, right? And what we mean by that is that climate change, if we don't change course, if we don't change our political and economic system, is going to change everything about our physical world.",Naomi Klein
1988,"If I were ever abducted by aliens, the first thing I’d ask is whether they came from a planet where people also deny science.",Neil deGrasse Tyson
1989,"Climate change, if unchecked, is an urgent threat to health, food supplies, biodiversity, and livelihoods across the globe.",John F. Kerry
1990,"A healthy ecology is the basis for a healthy economy.",Claudine Schneider
1991,"I believe global warming and climate change are real threats to our planet.",Andrew Cuomo
1992,"Sustainable development - development that does not destroy or undermine the ecological, economic, or social basis on which continued development depends - is the only viable pathway to a more secure and hopeful future for rich and poor alike.",Maurice Strong
1993,"If you really think that the environment is less important than the economy, try holding your breath while you count your money.",Guy McPherson
1994,"Is it Hot in here or is it global warming?",Roi Alfassi
1995,"Storming a football field to protest climate change, because that makes total sense, right? Wrong",Tomi Lahren
1996,"I'm anti-tax, but I'm pro-carbon tax.",Elon Musk
1997,"Please, come to Franc You are welcome, it’s your nation. We like innovation, we want innovative people, we want people working on climate change, energy, renewables and new technologies. France is your nation",Emmanuel Macron
1998,"The weight of our civilization has become so great, it now ranks as a global force and a significant wild card in the human future along with the Ice Ages and other vicissitudes of a volatile and changeable planetary system",Dianne Dumanoski
1999,"I would like to see a future where artists think that they have a right to contemplate things like global warming.",Brian Eno
2000,"We see incredible opportunity to solve some of the biggest social challenges we have by combining high-performance computing and AI - such as climate change and more.",Lisa Su
2001,"Good stewardship of the environment is not just a personal responsibility, it is a public value... Our duty is to use the land well, and sometimes not to use it at all. This is our responsibility as citizens, but more than that, it is our calling as stewards of the earth",George W. Bush
2002,"Climate change is crap.",Tony Abbott
2003,"For many of us, water simply flows from a faucet, and we think little about it beyond this point of contact. We have lost a sense of respect for the wild river", for the complex workings of a wetland, for the intricate web of life that water supports.",Sandra Postel
2004,"Climate change is not just about carbon dioxide levels and melting polar ice caps. It is about our public health and protecting our Earth for future generations.",Mike Quigley
2005,"Climate change is real, caused by human activity and already devastating our nation and planet. The United States must lead the world in combating climate change and transforming our energy system away from fossil fuels and toward energy efficiency and sustainability.",Bernie Sanders
2006,"Climate change is sometimes misunderstood as being about changes in the weather. In reality it is about changes in our very way of life",Paul Polman
2007,"The idea that the Arctic ice is disappearing is nonsense",Ben Shapiro
2008,"Climate change is a terrible problem, and it absolutely needs to be solved. It deserves to be a huge priority.",Bill Gates
2009,"For the first time in nearly a decade, we can look to the future with a sense of hope that the enormous environmental challenges we face will begin to be addressed and that our air, land, water, and wildlife – and the overall health of our planet – will not be sacrificed to appease polluting industries and campaign contributors.",Barack Obama
2010,"The earth is warming; it’s warming because of human activity, and the impact is bad and will get much worse. We have every reason to believe that at some point the impact will be catastrophic",Bill Gates
2011,"Climate change is a planetary crisis. Our task is clear. We must dramatically reduce greenhouse gas emissions",Bernie Sanders
2012,"The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.",Donald Trump
2013,"Ice storm rolls from Texas to Tennessee - I’m in Los Angeles and it’s freezing. Global warming is a total, and very expensive, hoax!",Donald Trump
2014,"We’re showing that there’s no excuse for other nations to come together, both developed and developing, to achieve a strong global climate agreement next year",Barack Obama
2015,"Part of what’s unique about climate change, though, is the nature of some of the opposition to action.  It’s pretty rare that you’ll encounter somebody who says the problem you’re trying to solve simply doesn’t exist. ",Barack Obama
2016,"If you do not believe in climate change, you do not believe in facts or in science or empirical truths, and therefore, in my humble opinion, should not be allowed to hold public office.",Leonardo DiCaprio
2017,"As the nation at last confronts global warming, it is no time for denial, greed, cynicism or pessimism",Bernie Sanders
2018,"There is a cooling, and there’s a heating. I mean, look, it used to not be climate change, it used to be global warming. That wasn’t working too well because it was getting too cold all over the place.",Donald Trump
